"mag","avg_deaths","quake_count"
9.5,2226,1
9.2,139,1
9.1,123164,2
9.0,10000,1
8.8,558,1
8.6,716,4
8.4,64,2
8.3,55,4
8.2,55,6
8.1,1180,9
8.0,974,9
7.9,17195,9
7.8,4562,18
7.7,180,17
7.6,4011,29
7.5,8315,33
7.4,1301,16
7.3,1274,34
7.2,952,25
7.1,1508,30
7.0,8039,41
6.9,549,32
6.8,896,38
6.7,180,33
6.6,898,54
6.5,117,49
6.4,143,49
6.3,183,46
6.2,717,43
6.1,54,62
6.0,114,48
5.9,412,45
5.8,15,39
5.7,16,38
5.6,27,40
5.5,32,35
5.4,41,41
5.3,41,24
5.2,7,27
5.1,5,26
5.0,4,19
4.9,23,22
4.8,3,12
4.7,116,10
4.6,7,13
4.5,4,8
4.4,4,4
4.3,11,8
4.2,5,7
4.1,4,2
4.0,4,5
3.9,1,1
3.8,5,2
3.7,3,2
3.6,1,1
3.5,628,3
3.4,2,1
3.2,1,1
3.1,3,1
2.8,10,1
2.1,11,2
1.6,3,1
