"mag","total_deaths"
9.5,2226
9.2,139
9.1,246327
9.0,10000
8.8,558
8.6,2861
8.4,128
8.3,217
8.2,327
8.1,10613
8.0,8759
7.9,154754
7.8,82104
7.7,3049
7.6,116291
7.5,274387
7.4,20804
7.3,43291
7.2,23791
7.1,45240
7.0,329575
6.9,17564
6.8,34036
6.7,5918
6.6,48480
6.5,5709
6.4,6971
6.3,8406
6.2,30820
6.1,3318
6.0,5444
5.9,18527
5.8,566
5.7,583
5.6,1066
5.5,1109
5.4,1660
5.3,984
5.2,164
5.1,109
5.0,67
4.9,506
4.8,33
4.7,1158
4.6,81
4.5,28
4.4,14
4.3,87
4.2,29
4.1,7
4.0,19
3.9,1
3.8,10
3.7,5
3.6,1
3.5,1883
3.4,2
3.2,1
3.1,3
2.8,10
2.1,21
1.6,3
