"country","event_count","deaths_per_country","avg_deaths_per_country"
INDONESIA,43,243742,5669
JAPAN,30,26111,871
MEXICO,20,9888,495
CHILE,17,3133,185
PHILIPPINES,15,8957,598
PERU,14,68306,4879
GREECE,14,729,53
USA,13,376,29
TAIWAN,9,134,15
PAPUA NEW GUINEA,8,1673,210
TURKEY,7,73966,10567
CHINA,6,87684,14614
SOLOMON ISLANDS,6,116,20
ALGERIA,5,8569,1714
VENEZUELA,5,489,98
RUSSIA,4,12002,3001
SOUTH KOREA,4,15,4
ITALY,3,2020,674
COSTA RICA,3,98,33
HAITI,2,318248,159124
IRAN,2,40005,20003
GUATEMALA,2,23048,11524
MOROCCO,2,13101,6551
PAKISTAN,2,6125,3063
CAMEROON,2,1737,869
INDIA,2,1532,766
BANGLADESH,2,1003,502
EL SALVADOR,2,845,423
ECUADOR,2,778,389
NEW ZEALAND,2,187,94
PORTUGAL,2,94,47
VANUATU,2,24,12
EGYPT,2,13,7
NORWAY,2,10,5
TONGA,2,7,4
GREENLAND,2,5,3
CANADA,2,2,1
BRAZIL,2,2,1
COLOMBIA,1,600,600
SAMOA,1,192,192
NICARAGUA,1,170,170
MONTENEGRO,1,131,131
CYPRUS,1,40,40
FRANCE,1,9,9
FIJI,1,8,8
HONDURAS,1,7,7
WALLIS AND FUTUNA (FRENCH TERRITORY),1,5,5
PANAMA,1,5,5
USA TERRITORY,1,4,4
GUADELOUPE (FRENCH TERRITORY),1,1,1
AUSTRALIA,1,1,1
CROATIA,1,1,1
VIETNAM,1,1,1
SPAIN,1,1,1
